interval_start_utc,interval_end_utc,respondent,coal,hydro,natural_gas,nuclear,other,petroleum,solar,wind
2023-01-24 00:00:00+00:00,2023-01-25 00:00:00+00:00,PACE,3872.3750000000000000,35.0833333333333333,1293.1250000000000000,0E-20,91.7916666666666667,0E-20,394.4583333333333333,1358.7916666666666667
2023-01-25 00:00:00+00:00,2023-01-26 00:00:00+00:00,PACE,3299.3333333333333333,33.7916666666666667,1153.7916666666666667,0E-20,72.4583333333333333,0E-20,178.1250000000000000,1438.7083333333333333
2023-01-26 00:00:00+00:00,2023-01-27 00:00:00+00:00,PACE,1727.0416666666666667,18.4166666666666667,941.9583333333333333,0E-20,55.7500000000000000,0E-20,149.6666666666666667,1268.3750000000000000
2023-01-27 00:00:00+00:00,2023-01-28 00:00:00+00:00,PACE,1198.0833333333333333,18.9583333333333333,424.3333333333333333,0E-20,59.9583333333333333,0E-20,156.1250000000000000,748.0000000000000000
2023-01-28 00:00:00+00:00,2023-01-29 00:00:00+00:00,PACE,1108.1250000000000000,20.5833333333333333,525.7916666666666667,0E-20,43.9583333333333333,0E-20,262.2500000000000000,774.0833333333333333
2023-01-29 00:00:00+00:00,2023-01-30 00:00:00+00:00,PACE,1524.1250000000000000,20.4583333333333333,648.6250000000000000,0E-20,78.1250000000000000,0E-20,223.4583333333333333,306.4166666666666667
2023-01-30 00:00:00+00:00,2023-01-31 00:00:00+00:00,PACE,1506.0416666666666667,11.4583333333333333,440.3750000000000000,0E-20,64.5416666666666667,0E-20,213.5416666666666667,187.7500000000000000
2023-01-31 00:00:00+00:00,2023-02-01 00:00:00+00:00,PACE,1284.7916666666666667,17.2916666666666667,508.7500000000000000,0E-20,70.8750000000000000,0E-20,275.7916666666666667,621.7083333333333333
2023-02-01 00:00:00+00:00,2023-02-02 00:00:00+00:00,PACE,2378.9166666666666667,20.7083333333333333,994.0416666666666667,0E-20,81.3750000000000000,0E-20,275.8333333333333333,1181.5416666666666667
2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,PACE,1884.7500000000000000,23.8333333333333333,964.5000000000000000,0E-20,75.9166666666666667,0E-20,193.2083333333333333,1167.0833333333333333
2023-02-03 00:00:00+00:00,2023-02-04 00:00:00+00:00,PACE,2013.6250000000000000,20.3333333333333333,715.6666666666666667,0E-20,72.2500000000000000,0E-20,219.2500000000000000,1138.9583333333333333
2023-02-04 00:00:00+00:00,2023-02-05 00:00:00+00:00,PACE,1726.0833333333333333,26.3333333333333333,1132.0000000000000000,0E-20,82.9583333333333333,0E-20,297.5833333333333333,1161.5416666666666667
2023-02-05 00:00:00+00:00,2023-02-06 00:00:00+00:00,PACE,1229.2500000000000000,22.0000000000000000,876.1250000000000000,0E-20,71.2500000000000000,0E-20,120.3750000000000000,808.5416666666666667
2023-02-06 00:00:00+00:00,2023-02-07 00:00:00+00:00,PACE,822.6666666666666667,19.5416666666666667,600.2500000000000000,0E-20,60.7916666666666667,0E-20,61.7083333333333333,1170.4583333333333333
2023-02-07 00:00:00+00:00,2023-02-08 00:00:00+00:00,PACE,1949.2916666666666667,31.5833333333333333,1117.7916666666666667,0E-20,121.6250000000000000,0E-20,388.5416666666666667,1469.0000000000000000
2023-02-08 00:00:00+00:00,2023-02-09 00:00:00+00:00,PACE,1901.6666666666666667,34.6250000000000000,1103.5000000000000000,0E-20,100.4166666666666667,0E-20,326.8333333333333333,1098.8750000000000000
2023-02-09 00:00:00+00:00,2023-02-10 00:00:00+00:00,PACE,1548.8333333333333333,26.0833333333333333,768.0000000000000000,0E-20,55.5833333333333333,0E-20,223.3333333333333333,526.6666666666666667
2023-02-10 00:00:00+00:00,2023-02-11 00:00:00+00:00,PACE,1496.5833333333333333,25.2083333333333333,630.7916666666666667,0E-20,61.5000000000000000,0E-20,305.0833333333333333,963.2916666666666667
2023-02-11 00:00:00+00:00,2023-02-12 00:00:00+00:00,PACE,1297.5416666666666667,29.3333333333333333,1126.1666666666666667,0E-20,73.6250000000000000,0E-20,149.2916666666666667,600.9166666666666667
2023-02-12 00:00:00+00:00,2023-02-13 00:00:00+00:00,PACE,1753.4583333333333333,26.2083333333333333,866.5833333333333333,0E-20,68.0833333333333333,0E-20,288.5833333333333333,538.1250000000000000
2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,PACE,1318.8333333333333333,23.5833333333333333,987.2083333333333333,0E-20,40.3750000000000000,0E-20,158.2500000000000000,765.5833333333333333
2023-02-14 00:00:00+00:00,2023-02-15 00:00:00+00:00,PACE,1068.0416666666666667,32.5416666666666667,978.9166666666666667,0E-20,78.2500000000000000,0E-20,33.7500000000000000,1239.0833333333333333
