interval_start_utc,interval_end_utc,respondent,load,load_forecast,net_generation,total_interchange
2023-04-21 00:00:00+00:00,2023-04-22 00:00:00+00:00,PACE,5743.3571428571428571,5600.5714285714285714,5251.6000000000000000,-299.2857142857142857
2023-04-22 00:00:00+00:00,2023-04-23 00:00:00+00:00,PACE,5347.8000000000000000,5345.2142857142857143,4354.1666666666666667,-903.5000000000000000
2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00,PACE,5092.5000000000000000,5143.7500000000000000,4207.3529411764705882,-919.6000000000000000
2023-04-24 00:00:00+00:00,2023-04-25 00:00:00+00:00,PACE,5382.4000000000000000,5301.4444444444444444,4288.5625000000000000,-1196.2666666666666667
2023-04-25 00:00:00+00:00,2023-04-26 00:00:00+00:00,PACE,5551.4210526315789474,5419.1052631578947368,4188.7857142857142857,-1395.3636363636363636
2023-04-26 00:00:00+00:00,2023-04-27 00:00:00+00:00,PACE,5279.4375000000000000,5389.5714285714285714,4165.6666666666666667,-1195.1111111111111111
2023-04-27 00:00:00+00:00,2023-04-28 00:00:00+00:00,PACE,5341.4375000000000000,5432.2727272727272727,5067.5882352941176471,-249.9545454545454545
2023-04-28 00:00:00+00:00,2023-04-29 00:00:00+00:00,PACE,5346.8421052631578947,5358.5000000000000000,4729.5714285714285714,-796.6000000000000000
2023-04-29 00:00:00+00:00,2023-04-30 00:00:00+00:00,PACE,4945.0000000000000000,5164.6428571428571429,4557.1875000000000000,-380.8947368421052632
2023-04-30 00:00:00+00:00,2023-05-01 00:00:00+00:00,PACE,4879.4666666666666667,5182.0588235294117647,3953.7857142857142857,-1061.9411764705882353
2023-05-01 00:00:00+00:00,2023-05-02 00:00:00+00:00,PACE,5353.3888888888888889,5361.1250000000000000,3988.0000000000000000,-1419.8181818181818182
2023-05-02 00:00:00+00:00,2023-05-03 00:00:00+00:00,PACE,5477.6250000000000000,5601.6428571428571429,4630.5294117647058824,-759.7500000000000000
2023-05-03 00:00:00+00:00,2023-05-04 00:00:00+00:00,PACE,5361.6111111111111111,5574.8000000000000000,4128.8750000000000000,-1199.6923076923076923
2023-05-04 00:00:00+00:00,2023-05-05 00:00:00+00:00,PACE,5320.1333333333333333,5513.2857142857142857,3960.6000000000000000,-1114.2222222222222222
2023-05-05 00:00:00+00:00,2023-05-06 00:00:00+00:00,PACE,5236.5384615384615385,5345.0000000000000000,4157.5625000000000000,-862.0000000000000000
2023-05-06 00:00:00+00:00,2023-05-07 00:00:00+00:00,PACE,5012.8823529411764706,5055.5333333333333333,4772.4666666666666667,-322.8000000000000000
2023-05-07 00:00:00+00:00,2023-05-08 00:00:00+00:00,PACE,4795.8823529411764706,5096.3333333333333333,4507.6923076923076923,-477.8750000000000000
2023-05-08 00:00:00+00:00,2023-05-09 00:00:00+00:00,PACE,5116.9473684210526316,5337.6000000000000000,4340.0000000000000000,-880.2941176470588235
2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,PACE,5151.6875000000000000,5448.4705882352941176,3829.3157894736842105,-1353.1764705882352941
2023-05-10 00:00:00+00:00,2023-05-11 00:00:00+00:00,PACE,5175.3000000000000000,5251.1666666666666667,4239.9090909090909091,-915.1875000000000000
2023-05-11 00:00:00+00:00,2023-05-12 00:00:00+00:00,PACE,5139.3888888888888889,5364.1333333333333333,4544.6666666666666667,-647.7222222222222222
2023-05-12 00:00:00+00:00,2023-05-13 00:00:00+00:00,PACE,5156.2000000000000000,5295.1052631578947368,5109.2777777777777778,-84.1250000000000000
2023-05-13 00:00:00+00:00,2023-05-14 00:00:00+00:00,PACE,5021.7142857142857143,5081.5000000000000000,4544.2352941176470588,-355.7857142857142857
2023-05-14 00:00:00+00:00,2023-05-15 00:00:00+00:00,PACE,4783.1666666666666667,4943.4375000000000000,4144.0769230769230769,-845.5384615384615385
2023-05-15 00:00:00+00:00,2023-05-16 00:00:00+00:00,PACE,5149.8000000000000000,5352.9333333333333333,4266.9333333333333333,-803.5294117647058824
2023-05-16 00:00:00+00:00,2023-05-17 00:00:00+00:00,PACE,5221.7142857142857143,5459.0000000000000000,5084.7857142857142857,-607.1764705882352941
2023-05-17 00:00:00+00:00,2023-05-18 00:00:00+00:00,PACE,5552.5833333333333333,5481.5555555555555556,4641.0000000000000000,-612.4705882352941176
